# Simulated BNS merger with GW detection; this is based on Patricelli et al . 2016, 2018
#run	MergerID	RA	Dec	Distance	DistMin	DistMax	redshift	theta	n det	SNR	90%C.R.	50%C.R.
#
run0002	MergerID000380	97.326	-60.530	2.370269e+05	1.220269e+05	2.523965e+05	0.054	20.257	3	12.130	33.710	8.583
run0002	MergerID000404	-166.113	-68.852	2.261632e+05	1.371632e+05	2.838460e+05	0.051	38.256	3	13.000	40.434	10.562
run0002	MergerID000448	160.513	12.567	1.699823e+05	7.845765e+04	3.039823e+05	0.038	61.841	3	14.070	406.349	80.008
run0002	MergerID000466	-173.394	52.107	5.898005e+04	3.266591e+04	1.269801e+05	0.013	69.897	3	31.330	2.267	0.659
run0003	MergerID000001	62.326	30.395	5.432846e+04	2.522581e+04	9.832846e+04	0.012	62.125	3	21.240	10.786	3.110
run0003	MergerID000030	144.550	34.432	8.860934e+04	5.660934e+04	1.198197e+05	0.020	43.953	3	36.950	6.517	1.775
run0003	MergerID000041	-163.278	36.440	8.992254e+04	4.568479e+04	1.769225e+05	0.020	66.236	3	22.790	4.921	1.363
run0003	MergerID000058	132.835	41.071	2.143263e+05	1.353263e+05	2.799600e+05	0.048	41.416	2	14.250	939.825	196.434
run0003	MergerID000100	-143.386	27.306	2.214633e+05	1.384633e+05	2.874825e+05	0.050	40.940	3	12.220	31.825	7.990
run0003	MergerID000101	47.314	-59.668	1.518175e+05	8.581750e+04	1.782768e+05	0.034	32.261	3	19.410	10.667	2.121
run0003	MergerID000110	21.333	65.354	2.033389e+05	1.133389e+05	2.337450e+05	0.046	30.073	3	14.280	28.377	7.351
run0003	MergerID000129	-62.330	20.642	2.020602e+05	1.180602e+05	2.435583e+05	0.046	34.748	3	13.570	44.574	11.852
run0003	MergerID000134	29.246	-54.802	1.652790e+05	8.927900e+04	2.412790e+05	0.037	50.274	3	16.860	14.799	2.814
run0003	MergerID000135	-51.475	-6.507	1.490284e+05	8.702840e+04	1.812512e+05	0.034	35.558	3	20.050	36.347	10.235
run0003	MergerID000152	-111.237	-8.294	6.263300e+04	3.563300e+04	8.963300e+04	0.014	48.129	3	23.850	12.038	3.522
run0003	MergerID000196	73.332	-30.571	2.093173e+05	1.143173e+05	2.365301e+05	0.047	28.184	3	13.680	20.811	5.727
run0003	MergerID000198	-73.685	77.814	1.438447e+05	7.384470e+04	2.138447e+05	0.033	51.538	3	12.650	22.406	6.032
run0003	MergerID000203	134.244	17.476	2.164273e+05	1.374273e+05	2.954273e+05	0.049	44.692	2	12.640	1194.262	330.000
run0003	MergerID000235	98.451	-7.616	2.522546e+05	1.312546e+05	2.723207e+05	0.057	22.346	3	12.510	206.807	60.337
run0003	MergerID000250	-124.684	59.662	1.962225e+05	1.002225e+05	2.078132e+05	0.044	19.365	3	17.260	7.452	2.099
run0003	MergerID000260	-170.842	-38.982	1.207621e+05	5.976210e+04	1.245627e+05	0.027	14.245	3	21.310	16.677	4.839
run0003	MergerID000271	169.504	65.449	1.297429e+05	6.130897e+04	2.377429e+05	0.029	62.953	3	17.430	12.539	3.301
run0003	MergerID000333	-70.788	-26.984	9.414180e+04	5.114180e+04	1.371418e+05	0.021	50.179	3	24.890	22.099	5.880
run0003	MergerID000345	-41.527	-39.790	3.298451e+05	1.768451e+05	3.654327e+05	0.075	25.826	2	13.680	1134.305	338.026
run0003	MergerID000347	158.949	-14.208	1.470032e+05	8.282670e+04	3.210032e+05	0.033	70.596	3	12.980	303.349	66.976
run0003	MergerID000378	161.341	-16.201	1.358305e+05	6.983050e+04	1.455087e+05	0.031	21.197	3	22.350	26.629	7.870
run0003	MergerID000382	-57.580	11.818	2.397350e+05	1.217350e+05	2.522730e+05	0.054	18.256	3	12.880	150.417	37.031
run0003	MergerID000433	9.838	-15.064	1.885517e+05	9.255170e+04	2.845517e+05	0.043	52.579	3	12.670	45.374	10.816
run0003	MergerID000454	-101.650	35.738	1.037264e+05	5.872640e+04	1.211827e+05	0.023	31.750	3	28.090	3.772	1.104
run0004	MergerID000002	-166.463	33.679	3.425418e+05	1.815418e+05	3.752924e+05	0.077	24.392	3	12.730	26.313	6.567
run0004	MergerID000041	-163.765	0.838	2.176444e+05	1.086444e+05	2.260649e+05	0.049	15.762	2	12.860	920.535	248.339
run0004	MergerID000047	-87.704	-2.906	1.203180e+05	7.231800e+04	1.496421e+05	0.027	37.499	3	22.020	25.105	6.777
run0004	MergerID000061	-5.054	18.474	1.475727e+05	8.157270e+04	2.135727e+05	0.033	49.617	2	13.870	756.702	243.723
run0004	MergerID000081	116.037	-0.351	2.365653e+05	1.165653e+05	2.412974e+05	0.054	11.394	3	14.150	101.702	29.002
run0004	MergerID000087	-74.827	11.001	1.909175e+05	1.049175e+05	2.174277e+05	0.043	29.060	3	16.100	38.608	9.943
run0004	MergerID000088	-30.641	-4.809	2.357072e+05	1.427072e+05	2.945583e+05	0.053	37.900	3	13.350	121.189	24.989
run0004	MergerID000098	50.467	64.422	4.790059e+04	4.640343e+04	1.799006e+05	0.011	89.083	3	35.280	4.201	1.197
run0004	MergerID000102	-160.879	47.021	2.699472e+05	1.369472e+05	2.824758e+05	0.061	17.226	3	15.990	11.815	3.078
run0004	MergerID000119	-50.021	34.075	8.340304e+04	3.913121e+04	1.514030e+05	0.019	62.618	2	13.210	201.703	34.995
run0004	MergerID000131	150.837	74.724	6.616131e+04	5.794991e+04	2.241613e+05	0.015	86.072	3	28.770	10.807	2.482
run0004	MergerID000133	-39.175	-55.365	1.942610e+05	9.426100e+04	2.942610e+05	0.044	52.822	2	13.340	1074.794	236.025
run0004	MergerID000191	101.790	43.977	2.663611e+05	1.393611e+05	2.881387e+05	0.060	22.641	3	13.430	154.201	34.877
run0004	MergerID000204	-175.598	7.555	2.066934e+05	1.096934e+05	3.036934e+05	0.047	50.895	2	12.890	1153.294	227.173
run0004	MergerID000248	-68.334	-6.619	2.915053e+05	1.495053e+05	3.094608e+05	0.066	19.761	3	13.630	109.131	34.241
