run MergerID RA Dec Distance DistMin DistMax redshift theta ndet SNR A90 A50
run0142 MergerID000123 -85.742 -24.327 230777.1 111777.1 230823.0 0.052 1.143 3.0 14.68 81.608 20.418
run0146 MergerID000301 -124.425 7.05 168784.8 81784.8 169220.3 0.038 4.113 3.0 14.95 16.52 4.669
run0147 MergerID000002 -16.886 -44.042 395112.8 192112.8 396145.8 0.089 4.14 2.0 12.05 1288.578 339.442
run0151 MergerID000305 -162.226 -57.367 168182.4 81182.4 168400.5 0.038 2.917 3.0 19.19 13.492 3.656
run0152 MergerID000079 -138.747 85.476 253383.4 122383.4 253707.5 0.057 2.897 3.0 14.53 14.793 3.812
run0158 MergerID000220 -9.581 -32.456 347213.9 168213.9 347395.5 0.079 1.853 3.0 14.89 31.768 8.338
run0160 MergerID000149 91.235 13.0 144573.7 69573.7 144661.7 0.033 1.999 3.0 20.61 55.262 18.209
run0162 MergerID000268 4.147 64.56 247374.6 119374.6 247828.8 0.056 3.47 3.0 12.54 41.909 11.77
run0170 MergerID000418 -147.678 -61.388 219304.7 106304.7 219445.0 0.05 2.049 3.0 14.8 32.555 8.073
run0173 MergerID000131 -146.757 -70.03 243270.5 117270.5 243539.4 0.055 2.693 3.0 13.33 23.028 5.767
run0175 MergerID000139 -6.105 -10.158 272537.9 131537.9 272934.1 0.062 3.088 3.0 16.57 409.602 92.506
run0176 MergerID000473 -5.562 -53.632 335050.0 162050.0 335283.4 0.076 2.138 3.0 12.75 172.091 22.349
run0180 MergerID000255 157.636 -57.736 16260.08 7260.08 16290.61 0.004 3.509 3.0 144.27 0.14 0.039
run0181 MergerID000296 -178.689 -20.322 166307.3 80307.3 166636.0 0.038 3.6 3.0 17.82 167.767 33.214
run0182 MergerID000054 -103.586 -48.023 234957.0 113957.0 235785.6 0.053 4.807 3.0 14.01 65.616 14.101
run0183 MergerID000331 86.145 -72.0 239693.4 115693.4 240040.7 0.054 3.083 3.0 14.45 14.742 4.035
run0184 MergerID000003 -35.049 -31.173 422186.7 205186.7 423480.7 0.095 4.482 2.0 12.43 1332.536 413.142
run0185 MergerID000449 176.955 21.438 215192.4 104192.4 215715.7 0.049 3.993 3.0 17.22 18.608 4.911
run0192 MergerID000017 -160.46 -55.394 158823.7 76823.7 158865.3 0.036 1.312 3.0 16.01 32.291 8.792
run0193 MergerID000013 -110.032 26.651 209674.7 101674.7 210255.2 0.047 4.26 3.0 14.37 16.533 4.578
run0193 MergerID000134 178.636 41.391 324915.0 156915.0 325425.4 0.073 3.21 3.0 16.31 16.862 4.172
