#
#N Pointing	tstart	tend	Obs time
#		s
1	210	212	2
2	212	214	2
3	214	216	2
4	216	218	2
5	218	220	2
6	220	222	2
7	222	224	2
8	224	226	2
9	226	228	2
10	228	230	2
11	230	232	2
12	232	234	2
13	234	236	2
14	236	238	2
15	238	240	2
16	240	242	2
17	242	244	2
18	244	246	2
19	246	248	2
20	248	250	2
21	250	252	2
22	252	254	2
23	254	256	2
24	256	258	2
25	258	260	2
26	260	262	2
27	262	264	2
28	264	266	2
29	266	268	2
30	268	270	2
31	270	272	2
32	272	274	2
33	274	276	2
34	276	278	2
35	278	280	2
36	280	282	2
37	282	284	2
38	284	286	2
39	286	288	2
40	288	290	2
41	290	292	2
42	292	294	2
43	294	296	2
44	296	298	2
45	298	300	2
46	300	302	2
47	302	304	2
48	304	306	2
49	306	308	2
50	308	310	2
51	310	312	2
52	312	314	2
53	314	316	2
54	316	318	2
55	318	320	2
56	320	322	2
57	322	324	2
58	324	326	2
59	326	328	2
60	328	330	2
61	330	332	2
62	332	334	2
63	334	336	2
64	336	338	2
65	338	340	2
66	340	342	2
67	342	344	2
68	344	346	2
69	346	348	2
70	348	350	2
71	350	352	2
72	352	354	2
73	354	356	2
74	356	358	2
75	358	360	2
76	360	362	2
77	362	364	2
78	364	366	2
79	366	368	2
80	368	370	2
81	370	372	2
82	372	374	2
83	374	376	2
84	376	378	2
85	378	380	2
86	380	382	2
87	382	384	2
88	384	386	2
89	386	388	2
90	388	390	2
91	390	392	2
92	392	394	2
93	394	396	2
94	396	398	2
95	398	400	2
96	400	402	2
97	402	404	2
98	404	406	2
99	406	409	3
100	409	412	3
101	412	415	3
102	415	418	3
103	418	421	3
104	421	424	3
105	424	427	3
106	427	430	3
107	430	433	3
108	433	436	3
109	436	439	3
110	439	442	3
111	442	445	3
112	445	448	3
113	448	451	3
114	451	454	3
115	454	457	3
116	457	460	3
117	460	463	3
118	463	466	3
119	466	469	3
120	469	472	3
121	472	475	3
122	475	478	3
123	478	481	3
124	481	484	3
125	484	487	3
126	487	490	3
127	490	493	3
128	493	496	3
129	496	499	3
130	499	502	3
131	502	505	3
132	505	508	3
133	508	511	3
134	511	515	4
135	515	519	4
136	519	523	4
137	523	527	4
138	527	531	4
139	531	535	4
140	535	539	4
141	539	543	4
142	543	547	4
143	547	551	4
144	551	555	4
145	555	559	4
146	559	563	4
147	563	567	4
148	567	571	4
149	571	575	4
150	575	579	4
151	579	583	4
152	583	587	4
153	587	591	4
154	591	595	4
155	595	599	4
156	599	603	4
157	603	608	5
158	608	613	5
159	613	618	5
160	618	623	5
161	623	628	5
162	628	633	5
163	633	638	5
164	638	643	5
165	643	648	5
166	648	653	5
167	653	658	5
168	658	663	5
169	663	668	5
170	668	673	5
171	673	678	5
172	678	683	5
173	683	689	6
174	689	695	6
175	695	701	6
176	701	707	6
177	707	713	6
178	713	719	6
179	719	725	6
180	725	731	6
181	731	737	6
182	737	743	6
183	743	749	6
184	749	755	6
185	755	762	7
186	762	769	7
187	769	776	7
188	776	783	7
189	783	790	7
190	790	797	7
191	797	804	7
192	804	811	7
193	811	819	8
194	819	827	8
195	827	835	8
196	835	843	8
197	843	851	8
198	851	859	8
199	859	867	8
200	867	875	8
201	875	884	9
202	884	893	9
203	893	902	9
204	902	911	9
205	911	920	9
206	920	929	9
207	929	939	10
208	939	949	10
209	949	959	10
210	959	969	10
211	969	979	10
212	979	990	11
213	990	1001	11
214	1001	1012	11
215	1012	1023	11
216	1023	1035	12
217	1035	1047	12
218	1047	1059	12
219	1059	1071	12
220	1071	1083	12
221	1083	1096	13
222	1096	1109	13
223	1109	1122	13
224	1122	1136	14
225	1136	1150	14
226	1150	1164	14
227	1164	1179	15
228	1179	1194	15
229	1194	1209	15
230	1209	1225	16
231	1225	1241	16
232	1241	1258	17
233	1258	1275	17
234	1275	1293	18
235	1293	1311	18
236	1311	1330	19
237	1330	1349	19
238	1349	1369	20
239	1369	1389	20
240	1389	1410	21
241	1410	1431	21
242	1431	1453	22
243	1453	1476	23
244	1476	1499	23
245	1499	1523	24
246	1523	1548	25
247	1548	1574	26
248	1574	1601	27
249	1601	1629	28
250	1629	1658	29
251	1658	1688	30
252	1688	1719	31
253	1719	1751	32
254	1751	1784	33
255	1784	1818	34
256	1818	1854	36
257	1854	1891	37
258	1891	1930	39
259	1930	1971	41
260	1971	2014	43
261	2014	2059	45
262	2059	2106	47
263	2106	2155	49
264	2155	2206	51
265	2206	2259	53
266	2259	2315	56
267	2315	2375	60
268	2375	2438	63
269	2438	2506	68
270	2506	2578	72
271	2578	2654	76
272	2654	2734	80
273	2734	2819	85
274	2819	2910	91
275	2910	3008	98
276	3008	3115	107
277	3115	3232	117
278	3232	3357	125
279	3357	3492	135
280	3492	3638	146
281	3638	3799	161
282	3799	3980	181
283	3980	4182	202
284	4182	4404	222
285	4404	4653	249
286	4653	4939	286
287	4939	5273	334
288	5273	5654	381
289	5654	6104	450
290	6104	6656	552
291	6656	7322	666
292	7322	8180	858
293	8180	9298	1118
