#
#N Pointing	tstart	tend	Obs time
#		s
1	210	240	30
2	240	272	32
3	272	304	32
4	304	337	33
5	337	371	34
6	371	406	35
7	406	443	37
8	443	483	40
9	483	526	43
10	526	571	45
11	571	618	47
12	618	668	50
13	668	721	53
14	721	777	56
15	777	836	59
16	836	901	65
17	901	973	72
18	973	1053	80
19	1053	1139	86
20	1139	1232	93
21	1232	1334	102
22	1334	1445	111
23	1445	1567	122
24	1567	1702	135
25	1702	1850	148
26	1850	2016	166
27	2016	2202	186
28	2202	2412	210
29	2412	2655	243
30	2655	2943	288
31	2943	3303	360
32	3303	3739	436
33	3739	4279	540
34	4279	4955	676
35	4955	5837	882
36	5837	7037	1200
37	7037	8766	1729
