#
#N Pointing	tstart	tend	Obs time
#		s
1	210	213	3
2	213	216	3
3	216	219	3
4	219	222	3
5	222	225	3
6	225	228	3
7	228	231	3
8	231	234	3
9	234	237	3
10	237	240	3
11	240	243	3
12	243	246	3
13	246	249	3
14	249	252	3
15	252	255	3
16	255	258	3
17	258	261	3
18	261	264	3
19	264	267	3
20	267	270	3
21	270	273	3
22	273	276	3
23	276	279	3
24	279	282	3
25	282	285	3
26	285	289	4
27	289	293	4
28	293	297	4
29	297	301	4
30	301	305	4
31	305	309	4
32	309	313	4
33	313	317	4
34	317	321	4
35	321	325	4
36	325	329	4
37	329	333	4
38	333	337	4
39	337	341	4
40	341	345	4
41	345	349	4
42	349	353	4
43	353	357	4
44	357	361	4
45	361	365	4
46	365	369	4
47	369	373	4
48	373	377	4
49	377	381	4
50	381	385	4
51	385	389	4
52	389	393	4
53	393	397	4
54	397	401	4
55	401	405	4
56	405	409	4
57	409	413	4
58	413	417	4
59	417	421	4
60	421	425	4
61	425	429	4
62	429	433	4
63	433	437	4
64	437	441	4
65	441	445	4
66	445	449	4
67	449	453	4
68	453	457	4
69	457	461	4
70	461	465	4
71	465	469	4
72	469	473	4
73	473	477	4
74	477	481	4
75	481	485	4
76	485	489	4
77	489	493	4
78	493	497	4
79	497	501	4
80	501	505	4
81	505	509	4
82	509	513	4
83	513	517	4
84	517	521	4
85	521	525	4
86	525	529	4
87	529	533	4
88	533	537	4
89	537	541	4
90	541	545	4
91	545	549	4
92	549	553	4
93	553	557	4
94	557	561	4
95	561	565	4
96	565	569	4
97	569	573	4
98	573	577	4
99	577	581	4
100	581	585	4
101	585	589	4
102	589	593	4
103	593	597	4
104	597	601	4
105	601	605	4
106	605	609	4
107	609	614	5
108	614	619	5
109	619	624	5
110	624	629	5
111	629	634	5
112	634	639	5
113	639	644	5
114	644	649	5
115	649	654	5
116	654	659	5
117	659	664	5
118	664	669	5
119	669	674	5
120	674	679	5
121	679	684	5
122	684	689	5
123	689	694	5
124	694	699	5
125	699	704	5
126	704	709	5
127	709	714	5
128	714	719	5
129	719	724	5
130	724	729	5
131	729	734	5
132	734	739	5
133	739	744	5
134	744	749	5
135	749	754	5
136	754	759	5
137	759	764	5
138	764	769	5
139	769	774	5
140	774	779	5
141	779	784	5
142	784	789	5
143	789	794	5
144	794	799	5
145	799	804	5
146	804	809	5
147	809	814	5
148	814	819	5
149	819	824	5
150	824	829	5
151	829	834	5
152	834	839	5
153	839	844	5
154	844	849	5
155	849	854	5
156	854	859	5
157	859	864	5
158	864	869	5
159	869	874	5
160	874	879	5
161	879	885	6
162	885	891	6
163	891	897	6
164	897	903	6
165	903	909	6
166	909	915	6
167	915	921	6
168	921	927	6
169	927	933	6
170	933	939	6
171	939	945	6
172	945	951	6
173	951	957	6
174	957	963	6
175	963	969	6
176	969	975	6
177	975	981	6
178	981	987	6
179	987	993	6
180	993	999	6
181	999	1005	6
182	1005	1011	6
183	1011	1017	6
184	1017	1023	6
185	1023	1029	6
186	1029	1035	6
187	1035	1041	6
188	1041	1047	6
189	1047	1053	6
190	1053	1059	6
191	1059	1065	6
192	1065	1071	6
193	1071	1077	6
194	1077	1083	6
195	1083	1090	7
196	1090	1097	7
197	1097	1104	7
198	1104	1111	7
199	1111	1118	7
200	1118	1125	7
201	1125	1132	7
202	1132	1139	7
203	1139	1146	7
204	1146	1153	7
205	1153	1160	7
206	1160	1167	7
207	1167	1174	7
208	1174	1181	7
209	1181	1188	7
210	1188	1195	7
211	1195	1202	7
212	1202	1209	7
213	1209	1216	7
214	1216	1224	8
215	1224	1232	8
216	1232	1240	8
217	1240	1248	8
218	1248	1256	8
219	1256	1264	8
220	1264	1272	8
221	1272	1280	8
222	1280	1288	8
223	1288	1296	8
224	1296	1304	8
225	1304	1312	8
226	1312	1320	8
227	1320	1328	8
228	1328	1336	8
229	1336	1344	8
230	1344	1352	8
231	1352	1360	8
232	1360	1368	8
233	1368	1376	8
234	1376	1384	8
235	1384	1393	9
236	1393	1402	9
237	1402	1411	9
238	1411	1420	9
239	1420	1429	9
240	1429	1438	9
241	1438	1447	9
242	1447	1456	9
243	1456	1465	9
244	1465	1474	9
245	1474	1483	9
246	1483	1492	9
247	1492	1501	9
248	1501	1510	9
249	1510	1519	9
250	1519	1528	9
251	1528	1537	9
252	1537	1546	9
253	1546	1556	10
254	1556	1566	10
255	1566	1576	10
256	1576	1586	10
257	1586	1596	10
258	1596	1606	10
259	1606	1616	10
260	1616	1626	10
261	1626	1636	10
262	1636	1646	10
263	1646	1656	10
264	1656	1666	10
265	1666	1676	10
266	1676	1686	10
267	1686	1696	10
268	1696	1706	10
269	1706	1716	10
270	1716	1727	11
271	1727	1738	11
272	1738	1749	11
273	1749	1760	11
274	1760	1771	11
275	1771	1782	11
276	1782	1793	11
277	1793	1804	11
278	1804	1815	11
279	1815	1826	11
280	1826	1837	11
281	1837	1848	11
282	1848	1859	11
283	1859	1870	11
284	1870	1882	12
285	1882	1894	12
286	1894	1906	12
287	1906	1918	12
288	1918	1930	12
289	1930	1942	12
290	1942	1954	12
291	1954	1966	12
292	1966	1978	12
293	1978	1990	12
294	1990	2002	12
295	2002	2015	13
296	2015	2028	13
297	2028	2041	13
298	2041	2054	13
299	2054	2067	13
300	2067	2080	13
301	2080	2093	13
302	2093	2106	13
303	2106	2119	13
304	2119	2132	13
305	2132	2145	13
306	2145	2158	13
307	2158	2172	14
308	2172	2186	14
309	2186	2200	14
310	2200	2214	14
311	2214	2228	14
312	2228	2242	14
313	2242	2256	14
314	2256	2270	14
315	2270	2284	14
316	2284	2299	15
317	2299	2314	15
318	2314	2329	15
319	2329	2344	15
320	2344	2359	15
321	2359	2374	15
322	2374	2389	15
323	2389	2404	15
324	2404	2420	16
325	2420	2436	16
326	2436	2452	16
327	2452	2468	16
328	2468	2484	16
329	2484	2500	16
330	2500	2516	16
331	2516	2533	17
332	2533	2550	17
333	2550	2567	17
334	2567	2584	17
335	2584	2601	17
336	2601	2618	17
337	2618	2636	18
338	2636	2654	18
339	2654	2672	18
340	2672	2690	18
341	2690	2708	18
342	2708	2726	18
343	2726	2745	19
344	2745	2764	19
345	2764	2783	19
346	2783	2802	19
347	2802	2822	20
348	2822	2842	20
349	2842	2862	20
350	2862	2882	20
351	2882	2903	21
352	2903	2924	21
353	2924	2945	21
354	2945	2966	21
355	2966	2988	22
356	2988	3010	22
357	3010	3032	22
358	3032	3055	23
359	3055	3078	23
360	3078	3102	24
361	3102	3126	24
362	3126	3150	24
363	3150	3175	25
364	3175	3200	25
365	3200	3225	25
366	3225	3250	25
367	3250	3276	26
368	3276	3302	26
369	3302	3328	26
370	3328	3355	27
371	3355	3382	27
372	3382	3409	27
373	3409	3436	27
374	3436	3464	28
375	3464	3492	28
376	3492	3520	28
377	3520	3549	29
378	3549	3578	29
379	3578	3607	29
380	3607	3637	30
381	3637	3667	30
382	3667	3697	30
383	3697	3728	31
384	3728	3759	31
385	3759	3791	32
386	3791	3823	32
387	3823	3855	32
388	3855	3888	33
389	3888	3921	33
390	3921	3955	34
391	3955	3989	34
392	3989	4024	35
393	4024	4059	35
394	4059	4095	36
395	4095	4131	36
396	4131	4167	36
397	4167	4204	37
398	4204	4241	37
399	4241	4279	38
400	4279	4317	38
401	4317	4356	39
402	4356	4395	39
403	4395	4435	40
404	4435	4475	40
405	4475	4516	41
406	4516	4558	42
407	4558	4600	42
408	4600	4643	43
409	4643	4686	43
410	4686	4730	44
411	4730	4775	45
412	4775	4821	46
413	4821	4867	46
414	4867	4914	47
415	4914	4962	48
416	4962	5011	49
417	5011	5061	50
418	5061	5111	50
419	5111	5162	51
420	5162	5214	52
421	5214	5267	53
422	5267	5320	53
423	5320	5374	54
424	5374	5429	55
425	5429	5485	56
426	5485	5542	57
427	5542	5600	58
428	5600	5659	59
429	5659	5719	60
430	5719	5780	61
431	5780	5842	62
432	5842	5905	63
433	5905	5969	64
434	5969	6034	65
435	6034	6101	67
436	6101	6169	68
437	6169	6239	70
438	6239	6310	71
439	6310	6383	73
440	6383	6457	74
441	6457	6532	75
442	6532	6608	76
443	6608	6686	78
444	6686	6765	79
445	6765	6846	81
446	6846	6928	82
447	6928	7012	84
448	7012	7097	85
449	7097	7184	87
450	7184	7273	89
451	7273	7364	91
452	7364	7457	93
453	7457	7552	95
454	7552	7650	98
455	7650	7750	100
456	7750	7853	103
457	7853	7959	106
458	7959	8068	109
459	8068	8179	111
460	8179	8292	113
461	8292	8407	115
462	8407	8525	118
463	8525	8646	121
464	8646	8769	123
465	8769	8895	126
466	8895	9025	130
467	9025	9158	133
468	9158	9295	137
469	9295	9436	141
470	9436	9581	145
471	9581	9731	150
472	9731	9886	155
473	9886	10046	160
