#
#N Pointing	tstart	tend	Obs time
#		s
1	210	214	4
2	214	218	4
3	218	222	4
4	222	226	4
5	226	231	5
6	231	236	5
7	236	241	5
8	241	246	5
9	246	251	5
10	251	256	5
11	256	261	5
12	261	266	5
13	266	271	5
14	271	276	5
15	276	282	6
16	282	288	6
17	288	294	6
18	294	300	6
19	300	306	6
20	306	312	6
21	312	318	6
22	318	324	6
23	324	330	6
24	330	336	6
25	336	343	7
26	343	350	7
27	350	357	7
28	357	364	7
29	364	371	7
30	371	378	7
31	378	385	7
32	385	393	8
33	393	401	8
34	401	409	8
35	409	417	8
36	417	425	8
37	425	433	8
38	433	441	8
39	441	450	9
40	450	459	9
41	459	468	9
42	468	477	9
43	477	486	9
44	486	496	10
45	496	506	10
46	506	516	10
47	516	526	10
48	526	537	11
49	537	548	11
50	548	559	11
51	559	570	11
52	570	582	12
53	582	594	12
54	594	606	12
55	606	619	13
56	619	632	13
57	632	645	13
58	645	659	14
59	659	673	14
60	673	688	15
61	688	703	15
62	703	719	16
63	719	735	16
64	735	752	17
65	752	770	18
66	770	789	19
67	789	809	20
68	809	829	20
69	829	850	21
70	850	871	21
71	871	893	22
72	893	916	23
73	916	940	24
74	940	965	25
75	965	991	26
76	991	1018	27
77	1018	1046	28
78	1046	1075	29
79	1075	1105	30
80	1105	1136	31
81	1136	1169	33
82	1169	1203	34
83	1203	1239	36
84	1239	1277	38
85	1277	1317	40
86	1317	1358	41
87	1358	1401	43
88	1401	1447	46
89	1447	1495	48
90	1495	1546	51
91	1546	1600	54
92	1600	1657	57
93	1657	1717	60
94	1717	1781	64
95	1781	1849	68
96	1849	1922	73
97	1922	2000	78
98	2000	2084	84
99	2084	2173	89
100	2173	2269	96
101	2269	2372	103
102	2372	2485	113
103	2485	2609	124
104	2609	2742	133
105	2742	2887	145
106	2887	3047	160
107	3047	3227	180
108	3227	3426	199
109	3426	3646	220
110	3646	3896	250
111	3896	4184	288
112	4184	4509	325
113	4509	4887	378
114	4887	5338	451
115	5338	5868	530
116	5868	6522	654
117	6522	7327	805
118	7327	8372	1045
119	8372	9753	1381
