#
#N Pointing	tstart	tend	Obs time
#		s
1	210	215	5
2	215	220	5
3	220	225	5
4	225	230	5
5	230	235	5
6	235	240	5
7	240	245	5
8	245	250	5
9	250	255	5
10	255	260	5
11	260	265	5
12	265	270	5
13	270	275	5
14	275	280	5
15	280	285	5
16	285	290	5
17	290	295	5
18	295	300	5
19	300	305	5
20	305	310	5
21	310	315	5
22	315	320	5
23	320	325	5
24	325	330	5
25	330	335	5
26	335	340	5
27	340	345	5
28	345	350	5
29	350	355	5
30	355	360	5
31	360	365	5
32	365	370	5
33	370	375	5
34	375	380	5
35	380	385	5
36	385	390	5
37	390	395	5
38	395	400	5
39	400	405	5
40	405	410	5
41	410	415	5
42	415	420	5
43	420	425	5
44	425	430	5
45	430	435	5
46	435	440	5
47	440	445	5
48	445	450	5
49	450	455	5
50	455	460	5
51	460	465	5
52	465	470	5
53	470	475	5
54	475	480	5
55	480	486	6
56	486	492	6
57	492	498	6
58	498	504	6
59	504	510	6
60	510	516	6
61	516	522	6
62	522	528	6
63	528	534	6
64	534	540	6
65	540	546	6
66	546	552	6
67	552	558	6
68	558	564	6
69	564	570	6
70	570	576	6
71	576	582	6
72	582	588	6
73	588	594	6
74	594	600	6
75	600	606	6
76	606	612	6
77	612	618	6
78	618	624	6
79	624	630	6
80	630	636	6
81	636	642	6
82	642	648	6
83	648	654	6
84	654	660	6
85	660	666	6
86	666	672	6
87	672	678	6
88	678	684	6
89	684	690	6
90	690	696	6
91	696	702	6
92	702	708	6
93	708	714	6
94	714	720	6
95	720	726	6
96	726	733	7
97	733	740	7
98	740	747	7
99	747	754	7
100	754	761	7
101	761	768	7
102	768	775	7
103	775	782	7
104	782	789	7
105	789	796	7
106	796	803	7
107	803	810	7
108	810	817	7
109	817	824	7
110	824	831	7
111	831	838	7
112	838	845	7
113	845	852	7
114	852	859	7
115	859	866	7
116	866	873	7
117	873	880	7
118	880	887	7
119	887	894	7
120	894	901	7
121	901	908	7
122	908	915	7
123	915	922	7
124	922	930	8
125	930	938	8
126	938	946	8
127	946	954	8
128	954	962	8
129	962	970	8
130	970	978	8
131	978	986	8
132	986	994	8
133	994	1002	8
134	1002	1010	8
135	1010	1018	8
136	1018	1026	8
137	1026	1034	8
138	1034	1042	8
139	1042	1050	8
140	1050	1058	8
141	1058	1066	8
142	1066	1074	8
143	1074	1082	8
144	1082	1090	8
145	1090	1098	8
146	1098	1106	8
147	1106	1114	8
148	1114	1122	8
149	1122	1130	8
150	1130	1138	8
151	1138	1146	8
152	1146	1154	8
153	1154	1163	9
154	1163	1172	9
155	1172	1181	9
156	1181	1190	9
157	1190	1199	9
158	1199	1208	9
159	1208	1217	9
160	1217	1226	9
161	1226	1235	9
162	1235	1244	9
163	1244	1253	9
164	1253	1262	9
165	1262	1271	9
166	1271	1280	9
167	1280	1289	9
168	1289	1298	9
169	1298	1307	9
170	1307	1316	9
171	1316	1325	9
172	1325	1335	10
173	1335	1345	10
174	1345	1355	10
175	1355	1365	10
176	1365	1375	10
177	1375	1385	10
178	1385	1395	10
179	1395	1405	10
180	1405	1415	10
181	1415	1425	10
182	1425	1435	10
183	1435	1445	10
184	1445	1456	11
185	1456	1467	11
186	1467	1478	11
187	1478	1489	11
188	1489	1500	11
189	1500	1511	11
190	1511	1522	11
191	1522	1533	11
192	1533	1544	11
193	1544	1556	12
194	1556	1568	12
195	1568	1580	12
196	1580	1592	12
197	1592	1604	12
198	1604	1616	12
199	1616	1628	12
200	1628	1640	12
201	1640	1652	12
202	1652	1664	12
203	1664	1676	12
204	1676	1688	12
205	1688	1701	13
206	1701	1714	13
207	1714	1727	13
208	1727	1740	13
209	1740	1753	13
210	1753	1766	13
211	1766	1779	13
212	1779	1792	13
213	1792	1805	13
214	1805	1818	13
215	1818	1831	13
216	1831	1845	14
217	1845	1859	14
218	1859	1873	14
219	1873	1887	14
220	1887	1901	14
221	1901	1915	14
