#
#N Pointing	tstart	tend	Obs time
#		s
1	210	233	23
2	233	257	24
3	257	281	24
4	281	304	23
5	304	327	23
6	327	351	24
7	351	376	25
8	376	402	26
9	402	428	26
10	428	454	26
11	454	481	27
12	481	508	27
13	508	535	27
14	535	563	28
15	563	591	28
16	591	619	28
17	619	648	29
18	648	678	30
19	678	709	31
20	709	742	33
21	742	776	34
22	776	812	36
23	812	849	37
24	849	887	38
25	887	926	39
26	926	966	40
27	966	1007	41
28	1007	1049	42
29	1049	1092	43
30	1092	1136	44
31	1136	1182	46
32	1182	1229	47
33	1229	1278	49
34	1278	1329	51
35	1329	1383	54
36	1383	1440	57
37	1440	1500	60
38	1500	1564	64
39	1564	1632	68
40	1632	1703	71
41	1703	1777	74
42	1777	1854	77
43	1854	1935	81
44	1935	2021	86
45	2021	2111	90
46	2111	2205	94
47	2205	2304	99
48	2304	2409	105
49	2409	2520	111
50	2520	2638	118
51	2638	2762	124
52	2762	2894	132
53	2894	3035	141
54	3035	3187	152
55	3187	3351	164
56	3351	3530	179
57	3530	3728	198
58	3728	3952	224
59	3952	4204	252
60	4204	4479	275
61	4479	4784	305
62	4784	5128	344
63	5128	5511	383
64	5511	5943	432
65	5943	6442	499
66	6442	7015	573
67	7015	7683	668
68	7683	8487	804
69	8487	9449	962
