#
#N Pointing	tstart	tend	Obs time
#		s
1	210	214	4
2	214	218	4
3	218	222	4
4	222	226	4
5	226	230	4
6	230	234	4
7	234	238	4
8	238	242	4
9	242	246	4
10	246	250	4
11	250	254	4
12	254	258	4
13	258	262	4
14	262	266	4
15	266	270	4
16	270	274	4
17	274	278	4
18	278	282	4
19	282	286	4
20	286	290	4
21	290	294	4
22	294	298	4
23	298	302	4
24	302	306	4
25	306	310	4
26	310	314	4
27	314	319	5
28	319	324	5
29	324	329	5
30	329	334	5
31	334	339	5
32	339	344	5
33	344	349	5
34	349	354	5
35	354	359	5
36	359	364	5
37	364	369	5
38	369	374	5
39	374	379	5
40	379	384	5
41	384	389	5
42	389	394	5
43	394	399	5
44	399	404	5
45	404	409	5
46	409	414	5
47	414	419	5
48	419	424	5
49	424	430	6
50	430	436	6
51	436	442	6
52	442	448	6
53	448	454	6
54	454	460	6
55	460	466	6
56	466	472	6
57	472	478	6
58	478	484	6
59	484	491	7
60	491	498	7
61	498	505	7
62	505	512	7
63	512	519	7
64	519	526	7
65	526	533	7
66	533	540	7
67	540	547	7
68	547	554	7
69	554	561	7
70	561	568	7
71	568	576	8
72	576	584	8
73	584	592	8
74	592	600	8
75	600	608	8
76	608	616	8
77	616	624	8
78	624	632	8
79	632	640	8
80	640	648	8
81	648	657	9
82	657	666	9
83	666	675	9
84	675	684	9
85	684	693	9
86	693	702	9
87	702	711	9
88	711	720	9
89	720	730	10
90	730	740	10
91	740	750	10
92	750	760	10
93	760	770	10
94	770	780	10
95	780	790	10
96	790	801	11
97	801	812	11
98	812	823	11
99	823	834	11
100	834	845	11
101	845	856	11
102	856	867	11
103	867	879	12
104	879	891	12
105	891	903	12
106	903	915	12
107	915	927	12
108	927	940	13
109	940	953	13
110	953	966	13
111	966	979	13
112	979	993	14
113	993	1007	14
114	1007	1021	14
115	1021	1035	14
116	1035	1050	15
117	1050	1065	15
118	1065	1080	15
119	1080	1095	15
120	1095	1111	16
121	1111	1127	16
122	1127	1143	16
123	1143	1159	16
124	1159	1176	17
125	1176	1193	17
126	1193	1210	17
127	1210	1228	18
128	1228	1246	18
129	1246	1265	19
130	1265	1284	19
131	1284	1304	20
132	1304	1324	20
133	1324	1344	20
134	1344	1365	21
135	1365	1387	22
136	1387	1409	22
137	1409	1432	23
138	1432	1456	24
139	1456	1480	24
140	1480	1505	25
141	1505	1531	26
142	1531	1558	27
143	1558	1586	28
144	1586	1615	29
145	1615	1645	30
146	1645	1676	31
147	1676	1707	31
148	1707	1739	32
149	1739	1772	33
150	1772	1806	34
151	1806	1841	35
152	1841	1877	36
153	1877	1915	38
154	1915	1954	39
155	1954	1994	40
156	1994	2036	42
157	2036	2079	43
158	2079	2123	44
159	2123	2169	46
160	2169	2216	47
161	2216	2265	49
162	2265	2316	51
163	2316	2369	53
164	2369	2424	55
165	2424	2482	58
166	2482	2542	60
167	2542	2605	63
168	2605	2670	65
169	2670	2737	67
170	2737	2807	70
171	2807	2880	73
172	2880	2957	77
173	2957	3038	81
174	3038	3124	86
175	3124	3215	91
176	3215	3310	95
177	3310	3409	99
178	3409	3513	104
179	3513	3623	110
180	3623	3740	117
181	3740	3865	125
182	3865	3999	134
183	3999	4142	143
184	4142	4294	152
185	4294	4456	162
186	4456	4629	173
187	4629	4817	188
188	4817	5023	206
189	5023	5247	224
190	5247	5488	241
191	5488	5751	263
192	5751	6041	290
193	6041	6368	327
194	6368	6731	363
195	6731	7133	402
196	7133	7588	455
197	7588	8118	530
198	8118	8724	606
199	8724	9428	704
