#
#N Pointing	tstart	tend	Obs time
#		s
1	210	221	11
2	221	232	11
3	232	242	10
4	242	252	10
5	252	262	10
6	262	272	10
7	272	282	10
8	282	293	11
9	293	304	11
10	304	315	11
11	315	326	11
12	326	337	11
13	337	348	11
14	348	359	11
15	359	370	11
16	370	381	11
17	381	392	11
18	392	403	11
19	403	414	11
20	414	425	11
21	425	436	11
22	436	447	11
23	447	458	11
24	458	470	12
25	470	482	12
26	482	494	12
27	494	506	12
28	506	518	12
29	518	530	12
30	530	542	12
31	542	554	12
32	554	566	12
33	566	578	12
34	578	590	12
35	590	603	13
36	603	616	13
37	616	629	13
38	629	642	13
39	642	655	13
40	655	668	13
41	668	681	13
42	681	695	14
43	695	709	14
44	709	723	14
45	723	737	14
46	737	751	14
47	751	766	15
48	766	781	15
49	781	796	15
50	796	811	15
51	811	827	16
52	827	843	16
53	843	859	16
54	859	875	16
55	875	891	16
56	891	907	16
57	907	923	16
58	923	940	17
59	940	957	17
60	957	974	17
61	974	991	17
62	991	1008	17
63	1008	1025	17
64	1025	1043	18
65	1043	1061	18
66	1061	1079	18
67	1079	1097	18
68	1097	1115	18
69	1115	1133	18
70	1133	1152	19
71	1152	1171	19
72	1171	1190	19
73	1190	1209	19
74	1209	1229	20
75	1229	1249	20
76	1249	1269	20
77	1269	1289	20
78	1289	1310	21
79	1310	1331	21
80	1331	1352	21
81	1352	1374	22
82	1374	1396	22
83	1396	1419	23
84	1419	1442	23
85	1442	1466	24
86	1466	1490	24
87	1490	1515	25
88	1515	1540	25
89	1540	1566	26
90	1566	1593	27
91	1593	1620	27
92	1620	1647	27
93	1647	1675	28
94	1675	1703	28
95	1703	1732	29
96	1732	1761	29
97	1761	1790	29
98	1790	1820	30
99	1820	1850	30
100	1850	1881	31
101	1881	1912	31
102	1912	1944	32
103	1944	1977	33
104	1977	2010	33
105	2010	2044	34
106	2044	2078	34
107	2078	2113	35
108	2113	2148	35
109	2148	2184	36
110	2184	2221	37
111	2221	2258	37
112	2258	2296	38
113	2296	2335	39
114	2335	2374	39
115	2374	2414	40
116	2414	2455	41
117	2455	2497	42
118	2497	2540	43
119	2540	2584	44
120	2584	2628	44
121	2628	2673	45
122	2673	2719	46
123	2719	2766	47
124	2766	2814	48
125	2814	2863	49
126	2863	2913	50
127	2913	2964	51
128	2964	3016	52
129	3016	3069	53
130	3069	3124	55
131	3124	3180	56
132	3180	3237	57
133	3237	3295	58
134	3295	3355	60
135	3355	3416	61
136	3416	3478	62
137	3478	3542	64
138	3542	3607	65
139	3607	3674	67
140	3674	3743	69
141	3743	3813	70
142	3813	3885	72
143	3885	3960	75
144	3960	4037	77
145	4037	4116	79
146	4116	4198	82
147	4198	4282	84
148	4282	4369	87
149	4369	4460	91
150	4460	4554	94
151	4554	4652	98
152	4652	4754	102
153	4754	4861	107
154	4861	4974	113
155	4974	5093	119
156	5093	5216	123
157	5216	5343	127
158	5343	5474	131
159	5474	5609	135
160	5609	5750	141
161	5750	5896	146
162	5896	6049	153
163	6049	6209	160
164	6209	6376	167
165	6376	6550	174
166	6550	6731	181
167	6731	6919	188
168	6919	7115	196
169	7115	7320	205
170	7320	7536	216
171	7536	7763	227
172	7763	8004	241
173	8004	8257	253
174	8257	8522	265
175	8522	8800	278
176	8800	9093	293
177	9093	9403	310
178	9403	9734	331
179	9734	10089	355
