#
#N Pointing	tstart	tend	Obs time
#		s
1	210	214	4
2	214	218	4
3	218	222	4
4	222	226	4
5	226	230	4
6	230	234	4
7	234	238	4
8	238	242	4
9	242	246	4
10	246	250	4
11	250	254	4
12	254	258	4
13	258	262	4
14	262	266	4
15	266	270	4
16	270	274	4
17	274	278	4
18	278	282	4
19	282	286	4
20	286	290	4
21	290	294	4
22	294	298	4
23	298	302	4
24	302	306	4
25	306	310	4
26	310	314	4
27	314	318	4
28	318	322	4
29	322	326	4
30	326	330	4
31	330	334	4
32	334	338	4
33	338	342	4
34	342	346	4
35	346	350	4
36	350	354	4
37	354	358	4
38	358	362	4
39	362	366	4
40	366	370	4
41	370	374	4
42	374	378	4
43	378	382	4
44	382	386	4
45	386	391	5
46	391	396	5
47	396	401	5
48	401	406	5
49	406	411	5
50	411	416	5
51	416	421	5
52	421	426	5
53	426	431	5
54	431	436	5
55	436	441	5
56	441	446	5
57	446	451	5
58	451	456	5
59	456	461	5
60	461	466	5
61	466	471	5
62	471	476	5
63	476	481	5
64	481	486	5
65	486	491	5
66	491	496	5
67	496	501	5
68	501	506	5
69	506	511	5
70	511	516	5
71	516	522	6
72	522	528	6
73	528	534	6
74	534	540	6
75	540	546	6
76	546	552	6
77	552	558	6
78	558	564	6
79	564	570	6
80	570	576	6
81	576	582	6
82	582	588	6
83	588	594	6
84	594	600	6
85	600	606	6
86	606	612	6
87	612	618	6
88	618	624	6
89	624	630	6
90	630	636	6
91	636	642	6
92	642	648	6
93	648	654	6
94	654	660	6
95	660	666	6
96	666	672	6
97	672	678	6
98	678	684	6
99	684	690	6
100	690	696	6
101	696	703	7
102	703	710	7
103	710	717	7
104	717	724	7
105	724	731	7
106	731	738	7
107	738	745	7
108	745	752	7
109	752	759	7
110	759	766	7
111	766	773	7
112	773	780	7
113	780	787	7
114	787	794	7
115	794	801	7
116	801	808	7
117	808	815	7
118	815	822	7
119	822	829	7
120	829	837	8
121	837	845	8
122	845	853	8
123	853	861	8
124	861	869	8
125	869	877	8
126	877	885	8
127	885	893	8
128	893	901	8
129	901	909	8
130	909	917	8
131	917	925	8
132	925	934	9
133	934	943	9
134	943	952	9
135	952	961	9
136	961	970	9
137	970	979	9
138	979	988	9
139	988	997	9
140	997	1007	10
141	1007	1017	10
142	1017	1027	10
143	1027	1037	10
144	1037	1047	10
145	1047	1057	10
146	1057	1067	10
147	1067	1077	10
148	1077	1087	10
149	1087	1097	10
150	1097	1107	10
151	1107	1117	10
152	1117	1128	11
153	1128	1139	11
154	1139	1150	11
155	1150	1161	11
156	1161	1172	11
157	1172	1183	11
158	1183	1194	11
159	1194	1205	11
160	1205	1216	11
161	1216	1227	11
162	1227	1239	12
163	1239	1251	12
164	1251	1263	12
165	1263	1275	12
166	1275	1287	12
167	1287	1299	12
168	1299	1311	12
169	1311	1323	12
170	1323	1336	13
171	1336	1349	13
172	1349	1362	13
173	1362	1375	13
174	1375	1388	13
175	1388	1401	13
176	1401	1414	13
177	1414	1427	13
178	1427	1441	14
179	1441	1455	14
180	1455	1469	14
181	1469	1483	14
182	1483	1497	14
183	1497	1511	14
184	1511	1526	15
185	1526	1541	15
186	1541	1556	15
187	1556	1571	15
188	1571	1586	15
189	1586	1601	15
190	1601	1617	16
191	1617	1633	16
192	1633	1649	16
193	1649	1665	16
194	1665	1681	16
195	1681	1697	16
196	1697	1714	17
197	1714	1731	17
198	1731	1748	17
199	1748	1765	17
200	1765	1782	17
201	1782	1800	18
202	1800	1818	18
203	1818	1836	18
204	1836	1854	18
205	1854	1873	19
206	1873	1892	19
207	1892	1911	19
208	1911	1930	19
209	1930	1950	20
210	1950	1970	20
211	1970	1990	20
212	1990	2011	21
213	2011	2032	21
214	2032	2053	21
215	2053	2074	21
216	2074	2096	22
217	2096	2118	22
218	2118	2141	23
219	2141	2164	23
220	2164	2187	23
221	2187	2211	24
222	2211	2235	24
223	2235	2260	25
224	2260	2285	25
225	2285	2311	26
226	2311	2337	26
227	2337	2364	27
228	2364	2392	28
229	2392	2420	28
230	2420	2449	29
231	2449	2479	30
232	2479	2510	31
233	2510	2541	31
234	2541	2573	32
235	2573	2605	32
236	2605	2638	33
237	2638	2671	33
238	2671	2705	34
