#
#N Pointing	tstart	tend	Obs time
#		s
1	210	215	5
2	215	220	5
3	220	225	5
4	225	231	6
5	231	237	6
6	237	243	6
7	243	249	6
8	249	255	6
9	255	261	6
10	261	268	7
11	268	275	7
12	275	282	7
13	282	289	7
14	289	296	7
15	296	304	8
16	304	312	8
17	312	320	8
18	320	329	9
19	329	338	9
20	338	347	9
21	347	357	10
22	357	367	10
23	367	378	11
24	378	389	11
25	389	401	12
26	401	414	13
27	414	427	13
28	427	441	14
29	441	455	14
30	455	470	15
31	470	486	16
32	486	503	17
33	503	521	18
34	521	539	18
35	539	558	19
36	558	578	20
37	578	600	22
38	600	623	23
39	623	648	25
40	648	674	26
41	674	702	28
42	702	732	30
43	732	764	32
44	764	799	35
45	799	836	37
46	836	876	40
47	876	919	43
48	919	967	48
49	967	1020	53
50	1020	1078	58
51	1078	1142	64
52	1142	1213	71
53	1213	1294	81
54	1294	1385	91
55	1385	1488	103
56	1488	1609	121
57	1609	1750	141
58	1750	1917	167
59	1917	2123	206
60	2123	2375	252
61	2375	2704	329
62	2704	3141	437
63	3141	3766	625
64	3766	4749	983
65	4749	6594	1845
