# Simulated BNS merger with GW detection; this is based on Patricelli et al . 2016, 2018
#run	MergerID	RA	Dec	Distance	redshift	theta	n det	SNR	90%C.R.	50%C.R.
# 
run0002	MergerID000185	59.661	-32.796	1.110015e+05	0.025	16.346	3	29.180	2.606	0.770
run0002	MergerID000186	-145.792	50.187	3.539216e+05	0.080	21.635	3	13.130	38.985	9.658
run0002	MergerID000203	150.606	-51.522	5.281384e+04	0.012	62.206	3	18.810	10.247	2.890
run0002	MergerID000225	165.623	8.625	1.328048e+05	0.030	55.961	3	20.150	33.491	8.525
run0002	MergerID000227	127.240	-2.728	2.172629e+05	0.049	18.639	3	14.330	97.322	27.674
run0002	MergerID000287	-76.356	24.018	1.085172e+05	0.025	55.144	3	17.380	19.073	5.196
run0002	MergerID000301	-163.896	30.080	1.375973e+05	0.031	24.125	3	27.310	3.730	1.098
run0002	MergerID000307	-25.470	-37.717	2.561902e+05	0.058	24.649	3	17.340	135.195	21.291
run0002	MergerID000330	-10.136	21.692	9.613342e+04	0.022	72.969	3	12.340	180.946	24.992
run0002	MergerID000350	79.813	84.358	1.092311e+05	0.025	23.464	3	29.150	2.631	0.750
run0002	MergerID000380	97.326	-60.530	2.370269e+05	0.054	20.257	3	12.130	33.710	8.583
run0002	MergerID000404	-166.113	-68.852	2.261632e+05	0.051	38.256	3	13.000	40.434	10.562
run0002	MergerID000448	160.513	12.567	1.699823e+05	0.038	61.841	3	14.070	406.349	80.008
run0002	MergerID000466	-173.394	52.107	5.898005e+04	0.013	69.897	3	31.330	2.267	0.659
run0003	MergerID000001	62.326	30.395	5.432846e+04	0.012	62.125	3	21.240	10.786	3.110
run0003	MergerID000030	144.550	34.432	8.860934e+04	0.020	43.953	3	36.950	6.517	1.775
run0003	MergerID000041	-163.278	36.440	8.992254e+04	0.020	66.236	3	22.790	4.921	1.363
run0003	MergerID000058	132.835	41.071	2.143263e+05	0.048	41.416	2	14.250	939.825	196.434
run0003	MergerID000100	-143.386	27.306	2.214633e+05	0.050	40.940	3	12.220	31.825	7.990
run0003	MergerID000101	47.314	-59.668	1.518175e+05	0.034	32.261	3	19.410	10.667	2.121
run0003	MergerID000110	21.333	65.354	2.033389e+05	0.046	30.073	3	14.280	28.377	7.351
run0003	MergerID000129	-62.330	20.642	2.020602e+05	0.046	34.748	3	13.570	44.574	11.852
run0003	MergerID000134	29.246	-54.802	1.652790e+05	0.037	50.274	3	16.860	14.799	2.814
run0003	MergerID000135	-51.475	-6.507	1.490284e+05	0.034	35.558	3	20.050	36.347	10.235
run0003	MergerID000152	-111.237	-8.294	6.263300e+04	0.014	48.129	3	23.850	12.038	3.522
run0003	MergerID000196	73.332	-30.571	2.093173e+05	0.047	28.184	3	13.680	20.811	5.727
run0003	MergerID000198	-73.685	77.814	1.438447e+05	0.033	51.538	3	12.650	22.406	6.032
run0003	MergerID000203	134.244	17.476	2.164273e+05	0.049	44.692	2	12.640	1194.262	330.000
run0003	MergerID000235	98.451	-7.616	2.522546e+05	0.057	22.346	3	12.510	206.807	60.337
run0003	MergerID000250	-124.684	59.662	1.962225e+05	0.044	19.365	3	17.260	7.452	2.099
run0003	MergerID000260	-170.842	-38.982	1.207621e+05	0.027	14.245	3	21.310	16.677	4.839
run0003	MergerID000271	169.504	65.449	1.297429e+05	0.029	62.953	3	17.430	12.539	3.301
run0003	MergerID000333	-70.788	-26.984	9.414180e+04	0.021	50.179	3	24.890	22.099	5.880
run0003	MergerID000345	-41.527	-39.790	3.298451e+05	0.075	25.826	2	13.680	1134.305	338.026
run0003	MergerID000347	158.949	-14.208	1.470032e+05	0.033	70.596	3	12.980	303.349	66.976
run0003	MergerID000378	161.341	-16.201	1.358305e+05	0.031	21.197	3	22.350	26.629	7.870
run0003	MergerID000382	-57.580	11.818	2.397350e+05	0.054	18.256	3	12.880	150.417	37.031
run0003	MergerID000433	9.838	-15.064	1.885517e+05	0.043	52.579	3	12.670	45.374	10.816
run0003	MergerID000454	-101.650	35.738	1.037264e+05	0.023	31.750	3	28.090	3.772	1.104
run0004	MergerID000002	-166.463	33.679	3.425418e+05	0.077	24.392	3	12.730	26.313	6.567
run0004	MergerID000041	-163.765	0.838	2.176444e+05	0.049	15.762	2	12.860	920.535	248.339
run0004	MergerID000047	-87.704	-2.906	1.203180e+05	0.027	37.499	3	22.020	25.105	6.777
run0004	MergerID000061	-5.054	18.474	1.475727e+05	0.033	49.617	2	13.870	756.702	243.723
run0004	MergerID000081	116.037	-0.351	2.365653e+05	0.054	11.394	3	14.150	101.702	29.002
run0004	MergerID000087	-74.827	11.001	1.909175e+05	0.043	29.060	3	16.100	38.608	9.943
run0004	MergerID000088	-30.641	-4.809	2.357072e+05	0.053	37.900	3	13.350	121.189	24.989
run0004	MergerID000098	50.467	64.422	4.790059e+04	0.011	89.083	3	35.280	4.201	1.197
run0004	MergerID000102	-160.879	47.021	2.699472e+05	0.061	17.226	3	15.990	11.815	3.078
run0004	MergerID000119	-50.021	34.075	8.340304e+04	0.019	62.618	2	13.210	201.703	34.995
run0004	MergerID000131	150.837	74.724	6.616131e+04	0.015	86.072	3	28.770	10.807	2.482
run0004	MergerID000133	-39.175	-55.365	1.942610e+05	0.044	52.822	2	13.340	1074.794	236.025
run0004	MergerID000191	101.790	43.977	2.663611e+05	0.060	22.641	3	13.430	154.201	34.877
run0004	MergerID000204	-175.598	7.555	2.066934e+05	0.047	50.895	2	12.890	1153.294	227.173
run0004	MergerID000248	-68.334	-6.619	2.915053e+05	0.066	19.761	3	13.630	109.131	34.241
run0004	MergerID000256	168.491	44.046	2.210678e+05	0.050	58.451	2	12.860	1534.229	528.807
run0004	MergerID000269	-10.897	5.843	1.224207e+05	0.028	29.346	3	26.320	15.371	4.219
run0004	MergerID000271	-42.728	-41.634	2.222978e+05	0.050	41.595	2	14.870	941.294	217.731
run0004	MergerID000276	-41.869	50.235	8.462340e+04	0.019	84.507	2	13.390	148.850	20.143
run0004	MergerID000277	-131.687	-77.080	2.273562e+05	0.051	14.124	3	15.280	18.196	4.486
run0004	MergerID000287	-65.233	-52.343	3.110339e+05	0.070	15.835	2	12.290	1406.538	276.718
run0004	MergerID000313	-10.148	-40.602	1.914301e+05	0.043	47.007	3	17.120	17.028	4.405
run0004	MergerID000339	-126.168	39.071	2.729459e+05	0.062	14.269	3	12.050	22.523	5.900
run0004	MergerID000341	-153.090	44.425	1.193816e+05	0.027	62.938	3	17.920	7.351	2.070
run0004	MergerID000348	127.923	-17.533	1.897777e+05	0.043	16.423	3	15.420	60.416	16.078
run0004	MergerID000359	-111.982	37.424	1.979709e+05	0.045	46.202	3	12.730	21.392	5.691
run0004	MergerID000362	-8.479	-26.051	3.143565e+05	0.071	17.966	3	14.130	29.357	7.131
run0004	MergerID000385	-15.090	32.098	1.698064e+05	0.038	32.897	3	14.140	89.978	22.697
run0004	MergerID000386	6.617	-29.413	3.352619e+05	0.076	9.541	2	12.710	844.644	206.847
run0004	MergerID000387	12.347	-28.512	3.106530e+05	0.070	16.079	3	12.840	32.255	7.822
run0004	MergerID000388	-118.393	-23.948	1.100855e+05	0.025	35.079	2	13.310	106.587	17.461
run0004	MergerID000390	4.203	-22.365	3.388388e+05	0.077	29.835	3	12.840	66.111	12.563
run0004	MergerID000428	121.825	-19.637	1.556015e+05	0.035	32.203	3	14.360	45.728	12.157
run0004	MergerID000442	-51.001	-14.302	2.772103e+05	0.063	37.167	2	12.300	1278.611	330.629
run0004	MergerID000446	-46.387	-23.778	2.828867e+05	0.064	19.645	2	13.080	1137.348	294.238
run0005	MergerID000009	-130.431	14.532	1.049807e+05	0.024	63.278	3	12.340	25.405	6.905
run0005	MergerID000012	-115.428	-50.676	2.529289e+05	0.057	28.652	3	13.460	55.174	13.275
run0005	MergerID000061	-16.333	-13.804	7.011711e+04	0.016	47.137	3	42.100	2.823	0.797
run0005	MergerID000137	-165.018	-9.746	6.648206e+04	0.015	67.990	3	23.740	52.157	9.985
run0005	MergerID000138	134.769	-13.940	1.044352e+05	0.024	56.869	3	19.640	35.004	10.281
run0005	MergerID000156	-59.372	-47.881	1.827316e+05	0.041	61.612	3	12.340	336.675	90.342
run0005	MergerID000161	98.284	-3.787	2.276673e+05	0.051	8.642	3	16.150	40.052	10.648
run0005	MergerID000162	-165.041	5.933	1.940479e+05	0.044	7.758	3	17.540	37.372	9.589
run0005	MergerID000164	145.810	73.437	1.327636e+05	0.030	42.312	3	22.620	4.972	1.384
run0005	MergerID000177	-99.459	3.581	1.165530e+05	0.026	65.810	3	13.930	31.277	8.474
run0005	MergerID000198	126.153	46.110	2.762529e+05	0.062	43.090	2	14.080	853.378	237.677
run0005	MergerID000225	12.321	22.852	7.762260e+04	0.018	12.916	3	32.220	28.012	7.857
run0005	MergerID000231	125.275	0.377	1.366834e+05	0.031	32.905	3	23.850	29.742	8.957
run0005	MergerID000238	115.790	16.046	1.608523e+05	0.036	68.936	2	12.790	1284.119	330.052
run0005	MergerID000298	152.756	26.217	1.738719e+05	0.039	10.450	3	27.310	7.606	2.115
run0005	MergerID000319	-100.692	35.310	1.428713e+05	0.032	15.792	3	21.220	6.213	1.761
run0005	MergerID000370	28.239	-28.910	1.710796e+05	0.039	36.049	3	17.430	10.391	2.952
run0005	MergerID000377	-166.719	-47.034	1.774797e+05	0.040	29.793	3	12.850	67.835	16.088
run0005	MergerID000400	-86.015	-10.972	1.952284e+05	0.044	29.911	3	13.270	117.301	34.529
run0005	MergerID000407	-11.516	34.199	1.128217e+05	0.026	49.563	3	16.820	33.169	8.910
run0005	MergerID000412	97.155	14.911	1.018137e+05	0.023	77.390	3	13.210	162.371	50.692
run0005	MergerID000444	-75.435	40.507	1.527445e+05	0.035	52.224	3	12.220	61.200	14.147
run0005	MergerID000446	5.406	-23.645	2.144928e+05	0.049	43.639	2	14.110	1236.070	360.949
run0005	MergerID000451	148.756	40.940	3.017501e+05	0.068	34.711	3	13.360	202.129	19.461
run0006	MergerID000023	-93.531	66.733	9.988489e+04	0.023	73.306	3	12.080	70.369	10.731
run0006	MergerID000053	162.678	30.893	2.764002e+05	0.063	42.268	2	12.920	1161.058	311.693
run0006	MergerID000058	-49.719	14.822	7.736820e+04	0.017	67.926	3	19.970	29.747	8.220
run0006	MergerID000064	44.388	79.128	2.015989e+05	0.046	23.807	3	15.640	22.711	5.703
run0006	MergerID000180	-20.079	-19.275	3.286016e+05	0.074	36.441	2	12.250	1812.455	554.353
run0006	MergerID000192	-111.650	-2.467	1.842832e+05	0.042	28.193	3	12.330	41.594	10.845
run0006	MergerID000203	71.352	-82.130	1.502173e+05	0.034	52.831	3	14.370	13.139	3.506
run0006	MergerID000234	90.366	-30.554	1.163866e+05	0.026	73.420	3	13.540	50.751	14.042
run0006	MergerID000247	-176.243	84.502	2.014192e+05	0.046	26.471	3	16.270	21.743	3.802
run0006	MergerID000259	52.616	-62.865	2.471940e+05	0.056	33.077	3	12.960	34.101	6.521
run0006	MergerID000316	-52.699	-60.611	2.608124e+05	0.059	50.848	3	13.230	150.299	23.628
run0006	MergerID000334	-39.151	-25.693	2.334898e+05	0.053	45.793	2	14.820	916.430	223.711
run0006	MergerID000344	-24.097	-26.346	2.873516e+05	0.065	44.199	3	12.770	153.751	23.097
run0006	MergerID000350	-90.488	65.950	2.022401e+05	0.046	19.761	3	14.090	23.407	6.382
run0006	MergerID000368	-81.082	-44.820	2.395308e+05	0.054	24.036	3	12.470	238.232	49.587
run0006	MergerID000412	145.097	-28.823	5.728803e+04	0.013	40.285	3	33.320	5.492	1.548
run0006	MergerID000429	-108.138	-80.493	2.408088e+05	0.054	18.514	3	13.130	22.976	5.865
run0007	MergerID000071	-72.375	-31.059	1.065909e+05	0.024	82.075	2	18.050	449.088	147.427
run0007	MergerID000072	169.358	24.826	3.523345e+05	0.080	11.699	3	13.550	48.116	10.131
run0007	MergerID000122	-18.214	-40.775	2.638815e+05	0.060	52.257	3	12.080	346.150	34.129
run0007	MergerID000159	-64.716	-28.800	3.295226e+05	0.075	11.007	2	12.750	929.387	225.429
run0007	MergerID000166	-177.132	53.301	3.006169e+05	0.068	45.789	3	13.150	555.127	128.477
run0007	MergerID000183	-173.797	57.081	3.610720e+05	0.082	10.334	3	12.850	139.646	9.522
run0007	MergerID000209	-8.984	-68.477	9.971633e+04	0.023	31.216	3	36.160	2.110	0.633
run0007	MergerID000222	-153.069	-21.675	1.114775e+05	0.025	51.069	2	12.650	635.883	187.149
run0007	MergerID000241	-150.979	39.359	1.135910e+05	0.026	10.578	3	35.710	1.523	0.443
run0007	MergerID000254	127.268	52.240	3.517892e+05	0.080	23.473	2	12.280	1489.327	331.101
run0007	MergerID000255	-3.403	67.452	1.142464e+05	0.026	50.806	3	15.640	18.287	4.902
run0007	MergerID000257	166.635	-1.748	2.817536e+05	0.064	25.785	3	13.800	373.499	85.503
run0007	MergerID000264	-170.190	5.935	1.875116e+05	0.042	32.168	2	16.270	518.487	127.402
run0007	MergerID000289	-166.555	30.823	2.372818e+05	0.054	31.774	3	14.530	25.863	6.778
run0007	MergerID000307	-58.375	-44.838	1.604795e+05	0.036	80.024	2	12.290	1548.864	464.969
run0007	MergerID000324	-49.057	-34.432	1.286755e+05	0.029	34.287	2	28.540	290.330	65.098
run0007	MergerID000346	73.630	-63.641	8.642098e+04	0.020	67.214	3	18.010	8.085	2.206
run0007	MergerID000353	30.721	28.462	1.402625e+05	0.032	24.464	3	16.770	90.218	23.202
run0007	MergerID000359	99.673	-20.030	2.548218e+05	0.058	19.483	3	12.090	94.021	22.553
run0007	MergerID000384	29.090	67.052	1.399553e+05	0.032	22.497	3	20.220	10.790	2.967
run0007	MergerID000390	-108.137	59.619	1.165411e+05	0.026	71.298	3	13.950	35.567	7.730
run0007	MergerID000393	-129.256	11.652	2.029469e+05	0.046	13.353	3	12.740	28.670	7.967
run0007	MergerID000401	140.393	34.443	3.175934e+05	0.072	32.741	2	13.980	1342.372	324.217
run0007	MergerID000428	62.535	-39.772	7.703699e+04	0.017	62.782	3	23.900	4.155	1.224
run0007	MergerID000443	132.136	60.011	1.541081e+05	0.035	68.320	3	15.780	46.293	9.837
run0008	MergerID000027	-20.185	-79.128	2.302907e+05	0.052	13.348	3	17.680	8.640	2.343
run0008	MergerID000037	108.673	11.187	2.378027e+05	0.054	31.627	3	13.670	126.494	34.044
run0008	MergerID000105	-60.071	-44.276	3.070707e+05	0.069	29.030	2	12.890	1010.732	247.067
run0008	MergerID000110	-115.471	-60.458	1.380720e+05	0.031	54.430	3	14.740	130.182	32.546
run0008	MergerID000115	12.930	-15.502	1.992960e+05	0.045	21.383	3	19.830	42.866	12.780
run0008	MergerID000131	105.089	77.129	2.547890e+05	0.058	20.639	3	14.930	17.869	4.757
run0008	MergerID000163	-8.594	-16.436	1.703389e+05	0.039	49.723	3	16.370	32.635	8.535
run0008	MergerID000182	158.664	-18.288	1.910499e+05	0.043	28.785	3	16.040	60.226	17.006
run0008	MergerID000212	153.011	45.594	3.637244e+05	0.082	17.574	2	12.170	1300.695	337.711
run0008	MergerID000215	-70.803	73.167	2.397487e+05	0.054	28.702	3	13.110	18.985	5.001
run0008	MergerID000217	17.069	26.499	1.751552e+05	0.040	21.385	2	12.770	884.248	251.211
run0008	MergerID000225	-51.362	3.433	2.656126e+05	0.060	33.429	3	12.380	216.446	68.166
run0008	MergerID000236	129.569	62.756	1.618488e+05	0.037	69.704	2	12.840	799.912	181.943
run0008	MergerID000262	-9.093	56.785	2.102891e+05	0.048	17.569	3	12.750	32.861	7.950
run0008	MergerID000279	-160.834	44.120	3.375801e+05	0.076	17.238	3	12.280	253.309	23.658
run0008	MergerID000288	177.033	85.830	2.085760e+05	0.047	26.349	3	14.500	14.873	4.032
run0008	MergerID000397	121.279	30.954	2.550638e+05	0.058	17.495	2	14.130	681.913	148.870
run0008	MergerID000407	41.736	-50.386	1.919847e+05	0.043	44.704	3	13.900	30.002	7.741
run0008	MergerID000450	165.179	-2.876	3.133666e+05	0.071	26.483	3	12.620	916.627	199.503
run0008	MergerID000477	-82.386	55.722	1.113640e+05	0.025	28.859	3	20.760	8.202	2.338
run0008	MergerID000503	169.110	-32.826	1.139782e+05	0.026	40.630	3	19.980	27.907	6.898
run0009	MergerID000001	99.432	-47.972	8.630377e+04	0.020	59.129	3	19.240	14.478	4.009
run0009	MergerID000029	172.147	-12.755	8.995408e+04	0.020	38.581	3	29.670	18.085	4.760
run0009	MergerID000044	-45.056	68.455	1.689436e+05	0.038	26.809	3	14.080	17.903	4.678
run0009	MergerID000056	-174.850	24.107	2.416419e+05	0.055	37.213	3	13.070	93.329	17.491
run0009	MergerID000081	-35.927	-27.148	2.060448e+05	0.047	49.957	2	14.600	1010.614	329.475
run0009	MergerID000082	-86.910	0.205	1.361158e+05	0.031	66.681	3	12.870	166.042	41.748
run0009	MergerID000112	3.648	1.418	2.285836e+05	0.052	41.935	3	13.630	315.584	60.793
run0009	MergerID000126	105.699	46.635	2.190195e+05	0.050	37.470	2	13.770	819.164	253.716
run0009	MergerID000151	100.364	-58.180	9.219543e+04	0.021	70.683	3	13.710	49.604	12.960
run0009	MergerID000152	112.006	-44.038	1.300327e+05	0.029	26.736	3	18.050	37.208	9.750
run0009	MergerID000171	-78.249	-31.882	9.586986e+04	0.022	36.269	3	30.310	10.407	2.878
run0009	MergerID000184	149.900	-80.201	2.139408e+05	0.048	29.679	3	13.440	21.586	5.496
run0009	MergerID000191	165.739	-9.142	2.787260e+05	0.063	5.403	3	13.400	152.551	30.234
run0009	MergerID000208	-27.755	-10.634	3.690847e+05	0.083	20.031	3	12.060	116.557	20.651
run0009	MergerID000215	-34.850	-23.752	1.498446e+05	0.034	26.138	3	26.900	15.690	3.263
run0009	MergerID000228	-103.079	40.153	2.475486e+05	0.056	39.834	3	12.360	33.812	8.686
run0009	MergerID000230	142.886	20.836	2.836199e+05	0.064	31.406	3	13.640	412.821	47.709
run0009	MergerID000258	136.233	1.294	2.676442e+05	0.061	28.872	3	12.120	307.591	61.029
run0009	MergerID000314	-93.764	15.091	2.385262e+05	0.054	18.941	3	14.670	27.565	7.422
run0009	MergerID000315	-36.160	-49.796	2.969231e+05	0.067	23.055	3	15.910	58.289	11.154
run0009	MergerID000322	32.451	-52.814	2.780252e+05	0.063	27.420	3	14.890	23.269	5.873
run0009	MergerID000332	-65.346	-52.482	2.875184e+05	0.065	24.638	2	13.310	727.733	189.130
run0009	MergerID000347	171.244	31.128	1.138826e+05	0.026	72.575	3	20.050	47.384	14.150
run0009	MergerID000358	153.494	56.185	1.206509e+05	0.027	63.973	3	22.150	141.218	37.562
run0009	MergerID000377	-61.646	-14.553	2.125785e+05	0.048	25.149	3	15.450	103.600	28.454
run0009	MergerID000401	-84.345	-6.666	9.172854e+04	0.021	39.713	3	27.070	24.164	7.090
run0009	MergerID000420	-156.118	24.309	2.616527e+05	0.059	38.196	3	13.930	34.588	8.044
run0009	MergerID000431	128.992	18.885	2.025957e+05	0.046	25.388	3	18.570	29.360	7.382
run0009	MergerID000438	158.246	1.637	3.649828e+05	0.083	15.314	3	12.050	287.868	44.243
run0009	MergerID000440	139.427	29.766	1.150794e+05	0.026	41.358	3	29.520	8.608	2.328
run0010	MergerID000015	-137.763	30.475	2.460067e+05	0.056	28.846	3	14.070	17.078	4.579
run0010	MergerID000051	26.108	42.580	1.836299e+05	0.042	10.632	3	15.630	53.321	14.871
run0010	MergerID000052	133.421	28.521	8.252734e+04	0.019	34.448	3	42.110	4.424	1.243
run0010	MergerID000079	-169.278	43.393	2.048561e+05	0.046	40.575	3	15.210	30.238	7.842
run0010	MergerID000085	74.487	6.279	1.726120e+05	0.039	27.202	3	12.200	78.225	21.350
run0010	MergerID000126	141.413	20.848	2.301525e+05	0.052	40.263	2	14.640	1027.505	342.484
run0010	MergerID000157	82.090	-28.069	2.360378e+05	0.053	22.332	3	13.600	46.853	12.435
run0010	MergerID000160	167.527	1.444	1.132417e+05	0.026	56.371	3	24.030	27.050	6.935
run0010	MergerID000183	33.739	-53.455	3.120048e+05	0.071	44.085	3	12.050	56.115	12.277
run0010	MergerID000206	-175.066	39.088	1.391296e+05	0.031	62.246	3	17.600	13.473	3.547
run0010	MergerID000301	130.226	-28.971	7.887541e+04	0.018	51.069	3	21.490	12.993	3.740
run0010	MergerID000308	-77.100	-24.456	1.878896e+05	0.042	26.071	3	16.460	60.537	14.550
run0010	MergerID000325	-53.594	-29.188	2.173259e+05	0.049	27.763	3	17.580	177.501	39.771
run0010	MergerID000350	80.821	74.239	1.693796e+05	0.038	50.802	3	14.320	30.092	7.416
run0010	MergerID000354	-104.149	-3.308	1.590228e+05	0.036	46.301	3	12.750	40.712	11.019
run0010	MergerID000358	177.947	86.647	2.670472e+05	0.060	19.957	3	14.070	20.333	5.210
run0010	MergerID000368	-8.416	-42.392	2.606450e+05	0.059	20.522	3	16.380	17.189	4.326
run0010	MergerID000388	49.105	13.671	8.841431e+04	0.020	23.802	3	17.170	7.636	2.165
run0010	MergerID000395	-42.094	-45.228	7.179440e+04	0.016	86.309	2	22.930	523.719	146.732
run0010	MergerID000425	175.793	-29.053	8.915305e+04	0.020	28.621	3	27.770	16.102	4.461
run0010	MergerID000431	-10.837	9.246	1.047288e+05	0.024	25.487	3	30.550	16.259	4.736
run0010	MergerID000433	-56.586	-63.496	1.288723e+05	0.029	64.843	3	18.300	31.580	5.632
run0010	MergerID000436	-120.006	-38.279	2.053466e+05	0.046	19.237	3	12.060	79.943	24.185
run0010	MergerID000489	48.442	32.679	5.972029e+04	0.014	82.016	3	15.320	38.411	8.440
run0011	MergerID000001	-49.592	25.105	1.401582e+05	0.032	5.938	3	18.580	18.352	5.230
run0011	MergerID000004	155.688	24.100	4.592612e+05	0.104	21.323	3	12.460	681.284	183.399
run0011	MergerID000009	-7.987	-68.561	1.060133e+05	0.024	40.372	3	27.960	2.979	0.865
run0011	MergerID000055	-125.189	60.323	1.034411e+05	0.023	58.957	3	20.810	4.562	1.282
run0011	MergerID000084	-4.356	32.898	9.556442e+04	0.022	54.318	3	17.530	69.993	13.930
run0011	MergerID000087	148.573	39.451	1.691419e+05	0.038	80.857	2	13.310	1192.112	382.508
run0011	MergerID000139	-76.352	-12.889	2.352633e+05	0.053	5.012	3	15.180	113.039	31.451
run0011	MergerID000154	-67.056	-80.763	2.163140e+05	0.049	43.642	3	13.630	43.847	10.887
run0011	MergerID000191	-43.806	-53.207	2.923712e+05	0.066	24.297	2	14.530	982.288	246.818
run0011	MergerID000206	-1.208	-53.616	2.377111e+05	0.054	26.172	3	16.100	17.042	4.288
run0011	MergerID000218	-7.035	77.302	1.963360e+05	0.044	48.611	3	12.610	28.541	7.606
run0011	MergerID000242	-12.746	-21.731	2.653361e+05	0.060	18.237	2	16.810	704.954	151.112
run0011	MergerID000245	50.846	60.222	2.014427e+05	0.046	46.622	3	12.640	78.199	18.960
run0011	MergerID000252	69.936	-73.271	2.022806e+05	0.046	40.154	3	13.200	38.870	7.596
run0011	MergerID000266	77.814	40.329	1.629113e+05	0.037	15.172	3	16.140	38.837	10.894
run0011	MergerID000278	-72.359	-17.969	2.006799e+05	0.045	36.983	3	14.570	112.144	23.700
run0011	MergerID000326	116.663	17.972	1.157631e+05	0.026	46.850	3	23.270	34.020	8.965
run0011	MergerID000388	16.647	-7.085	2.774853e+05	0.063	21.305	3	12.500	126.901	27.428
run0011	MergerID000392	9.719	-64.361	2.842060e+05	0.064	34.880	3	15.430	18.782	3.696
run0011	MergerID000409	-172.067	44.910	1.357889e+05	0.031	31.036	3	28.320	2.676	0.759
run0011	MergerID000425	148.751	26.288	2.644961e+05	0.060	20.071	2	15.700	892.117	289.242
run0011	MergerID000434	129.954	44.824	1.533938e+05	0.035	70.097	2	15.430	754.236	143.991
run0011	MergerID000448	99.316	-82.158	2.126707e+05	0.048	21.763	3	15.660	10.905	2.979
run0011	MergerID000450	-5.755	-40.838	1.874509e+05	0.042	11.740	3	24.020	5.728	1.595
