Pointing Time RAJ2000 DEJ2000 Pgw Pgal "Observation window" "RA(HH:MM:SS) Dec (DD:MM:SS)" PriorityGal PriorityGW
0 "2017-08-17 22:36" 11.8182 -23.099 0.3875 0.0 "2017-08-17 22:36:59-->2017-08-18 00:43:07" "00h47m16.368s -23d05m56.4s" 7 7
1 "2017-08-17 22:51" 12.7184 -25.5771 0.7239 0.0 "2017-08-17 22:51:24-->2017-08-18 00:43:07" "00h50m52.416s -25d34m37.56s" 6 0
2 "2017-08-17 23:06" 12.1732 -23.5196 0.5277 0.0 "2017-08-17 22:39:52-->2017-08-18 00:43:07" "00h48m41.568s -23d31m10.56s" 5 6
3 "2017-08-17 23:21" 13.1745 -26.0678 0.618 0.0 "2017-08-17 22:55:43-->2017-08-18 00:43:07" "00h52m41.88s -26d04m04.08s" 4 1
4 "2017-08-17 23:36" 11.9192 -23.6584 0.5395 0.0 "2017-08-17 22:39:52-->2017-08-18 00:43:07" "00h47m40.608s -23d39m30.24s" 3 4
5 "2017-08-17 23:51" 13.1745 -26.0678 0.618 0.0 "2017-08-17 22:55:43-->2017-08-18 00:43:07" "00h52m41.88s -26d04m04.08s" 2 2
6 "2017-08-18 00:06" 11.9192 -23.6584 0.5395 0.0 "2017-08-17 22:39:52-->2017-08-18 00:43:07" "00h47m40.608s -23d39m30.24s" 1 5
7 "2017-08-18 00:21" 13.1745 -26.0678 0.618 0.0 "2017-08-17 22:55:43-->2017-08-18 00:43:07" "00h52m41.88s -26d04m04.08s" 0 3
