Pointing Time RAJ2000 DEJ2000 "Observation window" Priority
0 "2017-08-17 22:36" 11.8182 -23.099 "2017-08-17 22:36:59-->2017-08-18 00:43:07" 7
1 "2017-08-17 22:51" 12.7184 -25.5771 "2017-08-17 22:51:24-->2017-08-18 00:43:07" 6
2 "2017-08-17 23:06" 12.1732 -23.5196 "2017-08-17 22:39:52-->2017-08-18 00:43:07" 5
3 "2017-08-17 23:21" 13.1745 -26.0678 "2017-08-17 22:55:43-->2017-08-18 00:43:07" 4
4 "2017-08-17 23:36" 11.9192 -23.6584 "2017-08-17 22:39:52-->2017-08-18 00:43:07" 3
5 "2017-08-17 23:51" 13.1745 -26.0678 "2017-08-17 22:55:43-->2017-08-18 00:43:07" 2
6 "2017-08-18 00:06" 11.9192 -23.6584 "2017-08-17 22:39:52-->2017-08-18 00:43:07" 1
7 "2017-08-18 00:21" 13.1745 -26.0678 "2017-08-17 22:55:43-->2017-08-18 00:43:07" 0
