Pointing Time RAJ2000 DEJ2000 Pgw Pgal "Observation window" "RA(HH:MM:SS) Dec (DD:MM:SS)" PriorityGal PriorityGW
36 "2017-08-17 19:50" 41.5618 -48.4345 0.0256 0.0 "2017-08-17 13:53:52-->2017-08-17 17:08:28" "02h46m14.832s -48d26m04.2s" 39 34
37 "2017-08-17 20:00" 40.1 -47.9455 0.0212 0.0 "2017-08-17 13:48:49-->2017-08-17 17:08:28" "02h40m24s -47d56m43.8s" 38 41
38 "2017-08-17 20:10" 44.1837 -48.8252 0.0209 0.0 "2017-08-17 14:03:57-->2017-08-17 17:08:28" "02h56m44.088s -48d49m30.72s" 37 43
39 "2017-08-17 20:20" 43.0656 -48.7276 0.0253 0.0 "2017-08-17 13:59:38-->2017-08-17 17:08:28" "02h52m15.744s -48d43m39.36s" 36 36
40 "2017-08-17 20:30" 43.8801 -48.7276 0.022 0.0 "2017-08-17 14:02:31-->2017-08-17 17:08:28" "02h55m31.224s -48d43m39.36s" 35 40
41 "2017-08-17 20:40" 39.9 -47.9455 0.021 0.0 "2017-08-17 13:48:06-->2017-08-17 17:08:28" "02h39m36s -47d56m43.8s" 34 42
42 "2017-08-17 20:50" 43.9796 -48.8252 0.0227 0.0 "2017-08-17 14:03:14-->2017-08-17 17:08:28" "02h55m55.104s -48d49m30.72s" 33 39
43 "2017-08-17 21:00" 43.0743 -48.5323 0.0233 0.0 "2017-08-17 13:59:38-->2017-08-17 17:08:28" "02h52m17.832s -48d31m56.28s" 32 38
44 "2017-08-17 21:10" 39.9889 -48.0434 0.0174 0.0 "2017-08-17 13:48:06-->2017-08-17 17:08:28" "02h39m57.336s -48d02m36.24s" 31 47
45 "2017-08-17 21:20" 39.7 -47.9455 0.0161 0.0 "2017-08-17 13:47:23-->2017-08-17 17:08:28" "02h38m48s -47d56m43.8s" 30 48
46 "2017-08-17 21:30" 43.5779 -48.6299 0.0187 0.0 "2017-08-17 14:01:48-->2017-08-17 17:08:28" "02h54m18.696s -48d37m47.64s" 29 45
47 "2017-08-17 21:40" 40.7906 -48.0434 0.0187 0.0 "2017-08-17 13:51:42-->2017-08-17 17:08:28" "02h43m09.744s -48d02m36.24s" 28 46
48 "2017-08-17 21:50" 41.065 -48.3368 0.0194 0.0 "2017-08-17 13:52:25-->2017-08-17 17:08:28" "02h44m15.6s -48d20m12.48s" 13 44
49 "2017-08-17 22:00" 40.279 -48.1412 0.0155 0.0 "2017-08-17 13:49:32-->2017-08-17 17:08:28" "02h41m06.96s -48d08m28.32s" 0 49
