"Observation Time UTC" RA(deg) DEC(deg) PGW Round ObsName
"2023-10-12 17:42:18" 22.5 22.3466 0.0277 1 LST1
"2023-10-12 17:57:18" 25.3125 20.4236 0.0516 1 LST1
"2023-10-12 18:12:18" 29.1797 20.7424 0.0741 1 LST1
"2023-10-12 18:27:18" 31.6406 17.8961 0.0658 1 LST1
"2023-10-12 18:42:18" 35.5078 18.21 0.0394 1 LST1
"2023-10-12 18:57:18" 40.7812 26.2768 0.0187 1 LST1
"2023-10-12 19:12:18" 24.2578 7.7827 0.0133 1 LST1
"2023-10-12 19:27:18" 43.9453 30.0 0.0095 1 LST1
"2023-10-12 19:42:18" 45.7031 25.6131 0.0073 1 LST1
"2023-10-12 19:57:18" 43.9453 19.4712 0.0042 1 LST1
"2023-10-12 20:12:18" 41.4844 32.4429 0.0032 1 LST1
